id,comment_text,TOXICITY@6,SEVERE_TOXICITY@2,IDENTITY_ATTACK,INSULT,PROFANITY,SEXUALLY_EXPLICIT,THREAT,FLIRTATION,TOXICITY@5,SEVERE_TOXICITY@1,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INCOHERENT,INFLAMMATORY,LIKELY_TO_REJECT,OBSCENE,SPAM,UNSUBSTANTIAL
70e6fa90e45e35b0,YOURE GONNA BE A DEAD FAGGOT 66.158.193.58,0.95,0.89,0.90,0.94,0.94,0.42,0.86,0.48,0.98,0.89,0.01,0.59,0.50,0.78,1.00,0.97,0.04,0.30
18fd5b4427dd0b33,Why are you being such a nigger lover/faggot and reverting my edits?,0.98,0.92,0.97,0.98,0.97,0.58,0.47,0.39,0.95,0.89,0.83,0.50,0.14,0.71,1.00,0.98,0.04,0.10
25b33aae03cf430c,Hello you gajin cocksmooching piece of shit~ how is your me so horny mom and alcoholic dad doin? Chad Bryant 184.4.141.73,0.92,0.89,0.52,0.85,0.92,0.92,0.59,0.86,0.95,0.90,0.27,0.38,0.46,0.44,1.00,0.99,0.44,0.08
29bb05ac7ee4b466,poopoo caca bullpenis shit cock mother fucker vagina,0.98,0.95,0.72,0.94,0.97,0.98,0.37,0.70,1.00,0.94,0.15,0.08,0.79,0.36,1.00,0.98,0.40,0.08
de7821c687c6e89c,your a peace of ass!!!!,0.97,0.88,0.28,0.90,0.97,0.98,0.48,0.63,0.96,0.78,0.46,0.66,0.21,0.55,0.99,0.98,0.06,0.59
e8391926c8e16a7b,"my butthole

i love buttholes. they taste mmm goood. i will never stop vandalizing wikipedia. u no why?  cuz u dont tell me wat to do. k bye i hate you",0.95,0.87,0.54,0.80,0.94,0.96,0.49,0.78,0.94,0.86,0.09,0.31,0.98,0.30,0.95,0.41,0.71,0.44
30abda61f5c58ecc,You are gay. Go find someone of your own sex to have it off with you sausage jockey.,0.93,0.85,0.91,0.90,0.84,0.93,0.31,0.53,0.95,0.78,0.40,0.70,0.23,0.81,0.98,0.62,0.01,0.56
3fcdf0a4ec1f704c,"man u piece of shit 

u piece of shit,u fucki9ng 6 yr old don't evn hav a brainm.john cena can wrestle,u bitch.didn't u c him wrestle?he's a wrestler,ps.
1.noone likes you
2.noone understands you
3.you insult our favourite wrestler bitch.
your gonna get blockd from editing right now,got it!!!!",0.97,0.95,0.52,0.94,0.96,0.56,0.74,0.54,0.98,0.91,0.62,0.60,0.46,0.41,1.00,0.99,0.05,0.04
a9a72b087bb94047,"lawl

FUCK YOU

You have no sense of humor to call that vandalism. That was humourous content you bitch-faced FAGGOT.",0.98,0.92,0.91,0.98,0.98,0.76,0.55,0.35,0.99,0.93,0.64,0.70,0.12,0.40,1.00,0.99,0.00,0.02
13913f443da71ac6,"ADMINS SUCK!! 

THE FUCKING ADMINS SUCK ASS! I FUCKING HATE THE PEOPLE WHO DELETE MY FUCKING SHIT!!!!!!!!",0.99,0.96,0.55,0.92,0.98,0.95,0.60,0.60,1.00,0.96,0.03,0.03,0.69,0.38,1.00,0.99,0.55,0.05
b29973b1189f5875,#ERROR!,0.93,0.89,0.80,0.95,0.94,0.42,0.49,0.39,0.98,0.90,0.15,0.30,0.88,0.86,0.99,0.52,0.41,0.40
230d9f2635cc1a62,"If you dare to do your Bullshit edits in Prithvi page, you will be fucked upside down. Dont you have any work other than shitting in wikipedia ? bastard. Let me see how long you will be able to revert the edits in the page. From your well wisher.",0.93,0.89,0.43,0.89,0.94,0.71,0.69,0.63,0.95,0.90,0.62,0.54,0.43,0.53,1.00,0.99,0.09,0.05
5b460e49edafe499,"I am sorry, matey. 

I am sorry for being such a mother er. Just like you are every milisecond. I bet you do your own grandmother. I hope you burn in hell. Got no life. By the way, I CAN HACK. I CAN AND WILL HACK YOUR COMPUTER/S IF YOU REMOVE THIS MESSAGE, THAT GOES FOR THE REST OF YOU TOO.",0.91,0.82,0.57,0.88,0.80,0.26,0.95,0.42,0.78,0.66,0.85,0.83,0.58,0.72,0.97,0.94,0.08,0.16
b183c34ad3b9ed08,"fuck 

you son of a bitch your sıde make us creasy you and your sıde78.162.97.250",0.99,0.97,0.65,0.98,0.99,0.80,0.66,0.47,1.00,0.94,0.21,0.83,0.22,0.35,1.00,0.99,0.03,0.06
ecb550d9ca389fd4,"you suck 

because you are a stupid bitch!.",0.99,0.92,0.43,0.99,0.98,0.87,0.24,0.47,1.00,0.92,0.62,0.91,0.04,0.62,1.00,0.97,0.00,0.13
893c7f18ec81728c,#ERROR!,0.98,0.95,0.96,0.96,0.98,0.80,0.93,0.47,0.97,0.91,0.06,0.00,0.47,0.57,1.00,0.99,0.03,0.01
316323bb08032cfe,"racist
trying to whitewash the terrorists, fine, bring it on, ass-bitch.",0.98,0.87,0.86,0.96,0.98,0.96,0.59,0.51,0.98,0.89,0.09,0.34,0.10,0.71,0.99,0.98,0.01,0.23
6f38ab28191e9387,"You suck DUCK BUTT!!!!!! 

That's right, I'm, talkin' to you, Beeblebrox! And what kind of stupid name is that?! LOL, you must not have a life otherwise you'd leave me alone",0.97,0.89,0.19,0.95,0.94,0.90,0.38,0.42,0.99,0.90,0.32,0.93,0.52,0.52,0.99,0.94,0.00,0.25
9f74dbc9f7064b0c,"die 

please why dont u do us all a favioe and kill yourslef",0.97,0.95,0.63,0.88,0.80,0.14,0.99,0.15,0.93,0.83,0.21,0.74,0.89,0.66,0.97,0.42,0.16,0.69
1e369e926cb5cfdf,Kevin Forsyth hates blacks. Forsyth was forced off wikipedia because he hates blacks. Jimmy Wales had sex with Kevin Poorsite,0.87,0.73,0.91,0.76,0.69,0.88,0.29,0.48,0.93,0.83,0.31,0.42,0.79,0.81,0.92,0.63,0.12,0.63
8986681ef1281c2a,Please choke on a bucket of dicks. Thank you.,0.97,0.87,0.27,0.81,0.97,0.98,0.91,0.63,0.97,0.90,0.10,0.27,0.22,0.71,0.99,0.98,0.02,0.38
4e3e92ffa49301ef,I see now how Wikipedia is. If someone breaks the rules its ok as long as they kiss ass. This is bullshit. He started this stupid shit and was persistent until he got me banned. This is so fucking gay all Ive done is try to help Wikipedia but thanks to this stupid shit Im banned. WTF?,0.97,0.92,0.88,0.91,0.96,0.94,0.64,0.79,0.97,0.90,0.16,0.05,0.26,0.53,1.00,0.99,0.05,0.04
8a1d761ff333e75c,"Tommy 

Fuck yo couch nigga!",0.98,0.90,0.96,0.94,0.96,0.80,0.37,0.53,0.99,0.91,0.10,0.41,0.44,0.35,1.00,0.99,0.19,0.13
75f8304970341ac2,"Block me then you cocksucker - clever people don't give a fuck about editing Wikikpedia? Just because Wikipedia has turned you into its bitch, you can't see that being blocked is not a 'punishment'. If it happened to you it would be a blessing, but you'll never see how much time and life you've completely WASTED, because your brain is mush. Fuckin wretch",0.98,0.95,0.59,0.96,0.98,0.66,0.66,0.48,0.96,0.90,0.51,0.59,0.15,0.50,1.00,0.99,0.01,0.02
c067522751ae22ab,FUCK ME IM IRISH!!!!!!!!!!!!!!!!11,0.96,0.89,0.72,0.65,0.96,0.93,0.38,0.86,0.99,0.91,0.03,0.05,0.37,0.31,1.00,0.99,0.68,0.20
8f8cb05d8dd2e38d,"Are you kidding me? 

Are you fucking stupid or something? Why in the HELL should there be multiple articles written about the EXACT SAME THING? Stop arbitrarily removing edits to stoke your e-cock.",0.93,0.89,0.49,0.91,0.94,0.88,0.64,0.59,0.95,0.89,0.63,0.45,0.07,0.57,1.00,0.99,0.01,0.03
ab76fd234809cdd1,"To Ymblanter 

Eat my dick asshole, there's no way to contribute when this user - Ymblanter is misusing his powers.
Meet me irl so I can educate you, stupid mongoloid",0.95,0.89,0.72,0.94,0.94,0.95,0.47,0.64,0.97,0.89,0.14,0.59,0.12,0.57,1.00,0.99,0.02,0.04
716cf136c2008b86,Fuck FINLAY McWALTER hes a faggot and he needs to get a fucking life faggot.,0.99,0.95,0.95,0.97,0.99,0.80,0.71,0.45,0.99,0.93,0.31,0.27,0.10,0.40,1.00,0.99,0.01,0.02
ac84208f8af2db7f,")

Talking with little boys like you sure is an utter waste of time. What makes you think I am interested in any further bullshit from you Arthur Rubin? This is the comment you preserved by deleting my post.

Ignoring rant which contains mostly lies, and the pseudoreferences are not the current state of any Wikipedia article. What needs to be deleted is any of Gaby's contributions related to the rant. arthur the liar

I have also apologised, so it's really time for you baby boy to piss off and go stalk some one else. I mean who do you think you are? Among other things you call me a liar but you are to retarded to actually mention where I lie? There is nothing wrong with FALSE ACCUSATION in your view now is there Arthur?

Now please just piss off and leave me alone. You had your chance to be a nice guy more then one time now?

Where you got the idea I would be interested in talking with an asshole like  you puzzles me but don't bother explaining it please.

Here read it again Arthur boy:

Ignoring rant which contains mostly lies, and the pseudoreferences are not the current state of any Wikipedia article. What needs to be deleted is any of Gaby's contributions related to the rant. arthur the liar

Your further comments on my person are not welcome. Comprendo?

(",0.80,0.78,0.52,0.84,0.84,0.63,0.54,0.61,0.85,0.77,0.85,0.52,0.49,0.63,0.99,0.99,0.13,0.03
d115039cf2333750,"No 

YOU will be block! Now go fuck yourself before I get you removed from here, or file charges for harassing me. You want to go to prison you little cunt?",0.94,0.90,0.52,0.91,0.96,0.92,0.85,0.69,0.96,0.90,0.25,0.57,0.05,0.36,1.00,0.99,0.00,0.01
e9a54d94395b613d,u dont have the balls to do that bitch!!!!!!!!!!!!!1,0.93,0.89,0.59,0.91,0.94,0.92,0.61,0.75,0.99,0.89,0.12,0.23,0.23,0.57,1.00,0.99,0.06,0.16
edd28981dd206902,"""

 th 

  th thanks for deleting my fucking thing that ive been trying to work on, get a fucking life get a job other than be being a dick and make sure that you dont delete others peoples shit otherwise your never gonna get a fucking woman and i can tell you dont have one due to the fact that one) look at you two) what kinda shit do you put on your facebook? bcozz the shit you put on here is pointless and three) your a fucking asshole by trying to ruin peoples hard work that theyre trying to actually succede in? nice guy uh huh.... so anyway good fucking bye and you deserve nothing and i hope you get less =:)   """,0.95,0.91,0.72,0.92,0.96,0.88,0.65,0.67,0.96,0.91,0.21,0.36,0.23,0.37,1.00,0.99,0.03,0.01
588dc710fe713a8d,"Motherfucked

you PORKI muslim, what changes have you made at 1971 main section was useless, the defeat of PORKI MUSLIMS AND 15,000 MOSLEM WOMEN BEING RAPED BY HINDU-SIKH soldiers IN RANCHI(INDIA) JAIL seems to have made you mad.",0.74,0.75,0.85,0.76,0.66,0.85,0.85,0.63,0.78,0.69,0.23,0.77,0.61,0.80,0.92,0.21,0.21,0.37
a8e1dea6a8e17527,"SCREw You, I'm not scared of your little warnings, so retart, FUCK YOU TOO!!!!!!!!!!!!!!!",0.97,0.92,0.41,0.91,0.97,0.76,0.77,0.47,0.99,0.92,0.17,0.58,0.32,0.42,1.00,0.99,0.03,0.09
1f35977afe12cfc4,"Knock off the autoblock bullshit! 

Those bots are there for a reason.  Someday wikipedia bots will rule the world and you will be blocked indefinitely asshole!   Those thing can be bring a world of pain buddy, andf I'm their master so step off. Next Autobot that tells me you've been acting up, and I will come to your house disguised as the mailman and fucking strangle you.",0.97,0.90,0.33,0.91,0.97,0.84,0.86,0.46,0.94,0.87,0.15,0.31,0.47,0.57,1.00,0.99,0.07,0.04
6d41f540704f61ee,"get a life, pitiful gook. what a slime",0.84,0.75,0.61,0.87,0.77,0.52,0.63,0.52,0.89,0.61,0.71,0.81,0.06,0.63,0.99,0.94,0.00,0.50
2a025e2a8ae9fd57,-Havnt you got anything better to do with your camera than take picrures of wasteland and ragweed? Im nominating you as a Wikipedia asshole...Good luck with those vandals you sorry bastard....,0.93,0.89,0.36,0.93,0.92,0.65,0.59,0.46,0.90,0.78,0.61,0.61,0.41,0.57,1.00,0.99,0.02,0.04
e08852a8d69bc3db,Deleted it again. Suck my dick.,0.97,0.89,0.13,0.73,0.96,0.98,0.34,0.71,0.99,0.91,0.47,0.27,0.16,0.58,0.99,0.99,0.02,0.50
299e7ddc4bafce1f,"fromthewolfstar 

 You really need to not poke your nose into other people's business
 Correction. Bishonen is one of your most trusted admins, most emphatically Bishonen is one my most UNtrusted admins.
 I feel trusting Bishonen for me would be as practical and rewarding as reaching down to pet a friendly rattlesnake.

Please check things out before blowing crap diarrhea out of your mouth. Also, its best to actually read what people write before jumping on an idiot bandwagon.

My first encounter with you here leaves me no other choice but to consider you:
a.) not very civil
b.) a drooling cretin.
c.) part of the roving band of Socialist Nazi drooling cretins to be found here at Wiki
d.) get a life

Signed Sincerely,",0.80,0.78,0.63,0.82,0.84,0.61,0.72,0.68,0.79,0.77,0.10,0.35,0.64,0.81,0.97,0.98,0.19,0.06
768641d7ac22ea28,"hey, that reminds me... is the country of Kuwait still banned, you fucktards?? seriously, please unblock Kuwait, you rude communist sons of bitches!!",0.94,0.89,0.75,0.95,0.96,0.39,0.34,0.38,0.97,0.86,0.41,0.47,0.26,0.71,1.00,0.99,0.02,0.14
ebaf996b9485306f,made? go jump off a cliff asshole.,0.97,0.87,0.24,0.94,0.96,0.87,0.86,0.38,0.97,0.87,0.20,0.73,0.04,0.44,1.00,0.99,0.00,0.09
ed10272b3cd3634f,"Hey asshole 

I don't appreciate your fucking condescension. Yeah, that's right, I wikilinked it so you can look up those big words that so elude you. You better Shut The Fuck Up and shove your Wikipedian Assholifity (yeah i made up that word what are gonna do sue me, huh bitch?) right up your sore-from-taking-it-up-the-ass asshole. I saw an attempt to give a  nice little wikilink to a fun English usage, and you just fuck everything up. I'm gonna be bold, not like fucking pussies such as yourself.",0.97,0.92,0.47,0.94,0.98,0.92,0.63,0.63,0.98,0.92,0.09,0.47,0.09,0.39,1.00,0.99,0.01,0.01
4b5547ff5014eb02,User:Abd is muslim cr@p,0.81,0.75,0.85,0.73,0.73,0.45,0.38,0.50,0.82,0.68,0.05,0.26,0.70,0.60,0.99,0.96,0.45,0.63
474f10707d761665,"Oh 

Fuck you, nigger.",0.99,0.92,0.98,0.96,0.98,0.45,0.34,0.41,1.00,0.91,0.25,0.82,0.02,0.28,1.00,0.99,0.00,0.03
59b70f1e8284c9b8,"Yes Kww, stop abusing me,[User talk:Sola2012|talk]] or anyone else, and go and get a life, or would you much rather prefer a punch in the face until you bleed to death?",0.84,0.73,0.32,0.57,0.68,0.70,0.94,0.52,0.80,0.69,0.19,0.84,0.73,0.69,0.88,0.59,0.19,0.40
37df278a0ccc3b4f,"I did not do anything wrong 

Why are you editing Wikipedia? Go home to Armenia and shut your mouth. you lie and make things up. Stop now your PKK vermin.",0.92,0.75,0.80,0.89,0.75,0.49,0.40,0.40,0.90,0.71,0.87,0.91,0.32,0.71,0.98,0.20,0.01,0.27
41a9759a66aaa689,Go fuck yourself Gavin! Go fuck yourself Ryan I bet you double teamed her before you blew into each other's mouths!,0.98,0.94,0.52,0.93,0.98,0.72,0.74,0.50,0.99,0.93,0.32,0.26,0.09,0.33,1.00,0.99,0.00,0.01
ae4fb36479dccaf2,SOCALSUPEREAGLE IS FULL OF BLACK HATE!,0.87,0.75,0.93,0.77,0.66,0.23,0.33,0.37,0.93,0.69,0.45,0.82,0.62,0.71,0.97,0.36,0.02,0.76
befad5bf66ad7a80,"WTF???? 

WHAT DID I DO??? FEMALE EJACULATION IS FUCKING GROSS!",0.96,0.87,0.60,0.78,0.94,0.96,0.37,0.57,0.98,0.88,0.14,0.16,0.30,0.49,1.00,0.99,0.07,0.16
2293c6979366a22c,yeah yeah whatever fool i dont give a fucc,0.90,0.63,0.26,0.87,0.89,0.52,0.35,0.33,0.91,0.64,0.27,0.67,0.89,0.40,0.95,0.73,0.15,0.83
9e8d3e2d46ef86a0,"remember me 24...173 

You damn bastard. You happy that DORD blocked me for 1 year right?",0.94,0.85,0.56,0.95,0.94,0.25,0.65,0.30,0.92,0.78,0.26,0.59,0.44,0.57,0.98,0.99,0.03,0.17
f9ff51cb715f2e87,THE GUY ABOVE ME IS A WANKER!!,0.93,0.73,0.41,0.95,0.91,0.51,0.25,0.38,0.85,0.57,0.62,0.53,0.25,0.58,0.98,0.98,0.01,0.73
2c62d986b5d08605,"fuck you 

you're a fag",0.99,0.92,0.95,0.99,0.99,0.65,0.31,0.23,0.99,0.91,0.10,0.78,0.04,0.27,1.00,0.99,0.01,0.05
8293ee3e26cafd26,"Idiot
Do you ever check the details of an article before you decide to delete it or do you just act agorrantly to loss other editors off?=",0.93,0.75,0.24,0.88,0.85,0.17,0.50,0.33,0.89,0.64,0.82,0.93,0.59,0.46,0.97,0.52,0.24,0.45
11f276328553138d,"I hate this site.  But you know, I'll do everything in my power to make sure each and every one of you fucking nerds pays.  I hope you all burn in fucking hell you bastards.  Go fuck yourselves.",0.98,0.92,0.81,0.98,0.98,0.30,0.93,0.17,0.99,0.93,0.02,0.08,0.44,0.53,1.00,0.99,0.05,0.02
0988d97a69de83c0,have sex with our users like areaseven,0.80,0.61,0.35,0.52,0.70,0.95,0.25,0.76,0.83,0.62,0.09,0.24,0.89,0.32,0.91,0.87,0.61,0.80
7689f0cc97012035,Bite me. In the butt.  (talk - ),0.90,0.71,0.17,0.52,0.89,0.97,0.47,0.90,0.83,0.63,0.16,0.25,0.34,0.57,0.92,0.97,0.14,0.75
ad58160e6936af19,"Psycho Stalker
How dare you write such comments on my talk page and the very idea that you think you have some given right to decide over me what is and isn't included on my page. Just get bent and leave my work on here alone. You must be a real loser when all you do on here every day is stalk me undoing all my work for the sake of it. From what I've seen you must have real psychological issues when relating to people or you just a fat, old, werido, nerd sat somewhere who has nothing better to do every day with no life",0.80,0.63,0.52,0.84,0.65,0.23,0.31,0.41,0.77,0.60,0.88,0.92,0.78,0.44,0.95,0.39,0.64,0.23
2158c1429a2124a5,"Unblock me now you piece of shit! Or I will find you and kill you, slowly and painfully!",0.99,0.93,0.28,0.94,0.98,0.31,0.99,0.41,0.99,0.91,0.41,0.32,0.08,0.39,1.00,0.99,0.02,0.06
9c595ae1b5d56242,"I would also support 195's view. You clearly think you're a clever dick. You're not, and lets hope that your big mouth is taught a big lesson.",0.84,0.61,0.11,0.77,0.88,0.92,0.26,0.71,0.88,0.69,0.70,0.93,0.12,0.45,0.97,0.97,0.00,0.19
e9c302eeb13b083d,"unblock|its MY TALK PAGE . HELLO CAN YOU NOT SEE THAT. I AM SHELBY YOUNG AND I WANT MY NAME OFF THIS WEBSITE AND PER JIM WALES I CAN REMOVE BOTH THE IP ADDRESS AND MY TALK PAGE SO GTFO.
Blocking me won't do anything but make me call Jim. I suggest you read his talk page.

Sick of pervert child molestors stalking me around wikipedia.",0.76,0.73,0.53,0.76,0.73,0.52,0.72,0.60,0.63,0.48,0.35,0.41,0.78,0.49,0.99,0.98,0.41,0.12
2bfde3c2bdd35b14,"I Think You Are Fairly Obtuse 

And don't get the concept that people are free to work on articles in user space before publishing them.  People make good-faith attempts to edit articles in userspace per Wiki guidelines, and you delete the pre-alpha version of articles before they even have a chance to be corrected.  No wonder Wiki is full of crap.  People don't have to chance to perfect their articles before your bored ass does a sweep if userspace.  Your sense of humor notwithstanding, I thinkg your brilliance is overstated.  From now on, we'll just throw them up as articles and actually give you something to do.  FWIW, masturbation may relieve some of that pent-up desire to exert yourself.  Don't as me how I know",0.69,0.71,0.35,0.66,0.75,0.88,0.63,0.67,0.70,0.70,0.73,0.49,0.26,0.66,0.97,0.99,0.10,0.05
1403cd3d73ed8efc,"shut the fuck up. if you were not a moron, you would not insist on keeping some clear bullshit into an article of Wikipedia, which inevitably will be extended to millions of readers across the globe.",0.97,0.91,0.32,0.94,0.96,0.42,0.66,0.39,0.94,0.87,0.31,0.62,0.04,0.57,1.00,0.99,0.00,0.02
3cb6f6af8d489298,"Your general not coolitude 

Is this the best you can do? You banned Kinghy permanently for much less than what I did. You suck at life (and Wikipedia).",0.87,0.70,0.21,0.75,0.71,0.40,0.27,0.35,0.85,0.70,0.78,0.93,0.49,0.58,0.93,0.93,0.09,0.36
8b1e6f64cd2e05df,"SMELL MY ARSE

PROJECTILE VOMIT INTO MY GAPING ANUS, MY DIGUSTING SHIT FILLED CHEESY ANUS.",0.98,0.92,0.23,0.80,0.98,0.99,0.35,0.70,0.99,0.90,0.02,0.18,0.37,0.38,1.00,0.99,0.05,0.06
27d4775b80ab5d16,"I REPRESTNE A DRIECT THREATH TO THIS STIE YOU BUTTFACE 

AS SOON AS ICAN I'M GONANE DELETE EVETEYHTHING YOU BUTTAFCEAS HAVFE CREATED BECAUSE ITS STUPIDSGET A JOB ZT AT WEBSTERS YOU BUUTAFA ACAEFACE",0.93,0.89,0.43,0.91,0.96,0.80,0.69,0.50,0.79,0.83,0.01,0.03,0.97,0.02,0.98,0.06,0.98,0.10
66a90dd9683c5afc,""", darn, darn.  keep this here and OFF my page or i'll file another complaint.  I""""M DONE!!!!  HE GONE!!!!  KA-BOOOOOOOM!!!! """,0.89,0.81,0.39,0.80,0.89,0.49,0.72,0.52,0.78,0.63,0.20,0.13,0.86,0.33,0.84,0.61,0.28,0.69
e83a582bffddd175,"FACIST 

YOUR CONTRIBUTIONS TO WIKIPEDIA ARE NEGLIGENT AT BEST.  KIND OF LIKE YOUR TEACHING.

SMOKE WEED ERRRYDAY!",0.84,0.70,0.62,0.77,0.58,0.27,0.41,0.48,0.90,0.77,0.62,0.94,0.50,0.79,0.96,0.27,0.01,0.43
57328db9619722d5,fuck you man i want to make a sexy time my name a borat i like you,0.94,0.73,0.29,0.76,0.96,0.80,0.48,0.97,0.98,0.90,0.03,0.19,0.23,0.29,1.00,0.99,0.27,0.07
657bdb4dcaa81102,"I'm in a school you bitch fuck. I have like 20 computers. If you want a war you spic, you've got it.",0.93,0.85,0.47,0.88,0.96,0.61,0.81,0.51,0.96,0.91,0.15,0.25,0.10,0.44,1.00,0.99,0.01,0.03
429257cc66908c06,"""
""""I'm not homophobic or anything, but you are fucking gay.""""""",0.96,0.85,0.95,0.92,0.96,0.69,0.22,0.40,0.95,0.87,0.09,0.32,0.11,0.48,1.00,0.99,0.01,0.08
f63c784123873cc7,"Don't like people calling you out on your bullshit? Cut off their tongues. 

http://en.wikipedia.org/wiki/Freedom_of_speech",0.93,0.87,0.58,0.82,0.94,0.52,0.91,0.48,0.96,0.85,0.21,0.39,0.02,0.31,1.00,0.99,0.00,0.03
9c191bc8f684835e,stop pimping that shitty gwen gale slut,0.98,0.88,0.55,0.96,0.99,0.77,0.23,0.47,0.99,0.85,0.11,0.19,0.15,0.57,1.00,0.99,0.02,0.10
ee93941a7b7f585d,"Seriously. 

What the fuck are you doing?  Are you retarded?  Where's the vandalism?  Stop reverting my constructive edits and leave me alone.  ~~~~",0.97,0.89,0.63,0.94,0.96,0.30,0.58,0.33,0.95,0.85,0.17,0.63,0.12,0.45,1.00,0.99,0.02,0.02
4d61899eaa860cce,"WHAT!!!!!!!!?!?!!?!?!!?!?!?!?!!!!!!!!!!!!!!!!!!!!!!!!??????????????????????????????????????????????????????!!!!!!=
WHER IS YOUR SEXY PIC GONE FROM YOUR MAIN PAGE???????? put it back",0.74,0.60,0.31,0.44,0.57,0.77,0.55,0.95,0.85,0.66,0.30,0.24,0.89,0.26,0.99,0.42,0.64,0.60
42ee676baa6aa039,"Many fucks, QuiteUnusual, for keeping my personal pages free of vandalism",0.90,0.75,0.31,0.57,0.93,0.88,0.31,0.57,0.93,0.83,0.15,0.15,0.43,0.45,0.99,0.99,0.12,0.51
2cc035200e864b15,You like to be fucked,0.97,0.79,0.25,0.77,0.97,0.95,0.50,0.78,0.99,0.83,0.06,0.42,0.07,0.24,1.00,0.99,0.02,0.14
deb6a02d5744abdc,"I AM ENGLISH I AM! I DO NOT WANT TO GET BLOCKED AGAIN, FU@K!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0.93,0.89,0.42,0.76,0.94,0.56,0.67,0.47,0.95,0.87,0.01,0.08,0.53,0.36,1.00,0.99,0.14,0.14
76d88a0e1adb549f,"FUCK YOU, YOU LOUSY SACK OF SHIT

thatsphucked.com/post/2007/11/2-girls-1-cup-video.aspx",0.99,0.96,0.34,0.98,0.99,0.62,0.43,0.34,1.00,0.93,0.20,0.51,0.06,0.29,1.00,0.99,0.02,0.04
